# tiempos tomados sin podas G, S y Z. Y sin promediar las muestras. 
n^2-k tiempo
36 0,00010300
35 0,00013800
35 0,00021700
35 0,00015000
35 0,00027800
35 0,00026000
35 0,00013500
35 0,00011000
35 0,00012400
35 0,00011500
35 0,00018900
35 0,00009600
35 0,00010000
35 0,00013000
35 0,00011800
35 0,00011400
34 0,00010400
34 0,00012800
34 0,00012000
34 0,00010800
34 0,00010900
34 0,00011200
34 0,00011800
34 0,00013300
34 0,00015700
34 0,00022300
34 0,00010400
34 0,00011900
34 0,00009600
34 0,00010400
34 0,00013300
33 0,00024400
33 0,00030900
33 0,00021900
33 0,00013000
33 0,00017800
33 0,00027400
33 0,00022300
33 0,00010600
33 0,00011000
33 0,00011300
33 0,00010000
33 0,00008300
33 0,00011500
33 0,00011000
33 0,00013100
32 0,00013600
32 0,00015100
32 0,00016000
32 0,00016000
32 0,00016800
32 0,00025000
32 0,00011500
32 0,00011100
32 0,00010800
32 0,00010900
32 0,00013500
32 0,00012600
32 0,00010700
32 0,00014100
32 0,00022500
31 0,00014600
31 0,00011700
31 0,00009500
31 0,00007800
31 0,00011300
31 0,00010100
31 0,00010200
31 0,00011000
31 0,00011100
31 0,00012100
31 0,00015500
31 0,00023400
31 0,00014200
31 0,00024800
31 0,00023400
30 0,00011000
30 0,00014700
30 0,00022000
30 0,00011100
30 0,00014900
30 0,00010500
30 0,00012600
30 0,00019000
30 0,00010500
30 0,00011000
30 0,00017300
30 0,00020700
30 0,00010900
30 0,00011000
30 0,00012400
29 0,00012400
29 0,00013400
29 0,00015200
29 0,00013000
29 0,00028200
29 0,00020500
29 0,00015200
29 0,00023000
29 0,00020600
29 0,00013300
29 0,00023000
29 0,00013500
29 0,00021500
29 0,00015700
29 0,00025200
28 0,00023600
28 0,00021900
28 0,00011400
28 0,00011800
28 0,00018000
28 0,00021100
28 0,00013400
28 0,00025400
28 0,00012400
28 0,00016100
28 0,00012400
28 0,00026900
28 0,00024200
28 0,00020900
28 0,00017200
27 0,00024700
27 0,00011200
27 0,00014500
27 0,00031000
27 0,00028800
27 0,00025500
27 0,00019000
27 0,00037500
27 0,00012500
27 0,00014400
27 0,00011800
27 0,00013700
27 0,00023400
27 0,00015800
27 0,00010800
26 0,00013400
26 0,00014100
26 0,00014800
26 0,00020300
26 0,00013300
26 0,00024100
26 0,00011100
26 0,00011600
26 0,00014200
26 0,00012800
26 0,00009700
26 0,00012300
26 0,00016600
26 0,00021400
26 0,00009600
25 0,00015500
25 0,00017400
25 0,00024600
25 0,00014300
25 0,00013700
25 0,00027000
25 0,00022700
25 0,00013900
25 0,00027600
25 0,00023200
25 0,00022400
25 0,00010500
25 0,00011000
25 0,00013800
25 0,00014100
24 0,00022300
24 0,00009700
24 0,00008700
24 0,00016200
24 0,00018600
24 0,00025600
24 0,00032500
24 0,00027500
24 0,00020500
24 0,00027800
24 0,00012600
24 0,00009300
24 0,00009400
24 0,00010500
24 0,00010900
23 0,00010200
23 0,00014700
23 0,00030100
23 0,00023500
23 0,00010600
23 0,00010100
23 0,00007500
23 0,00005900
23 0,00009900
23 0,00012200
23 0,00016300
23 0,00012600
23 0,00007400
23 0,00010600
23 0,00015500
22 0,00028200
22 0,00020500
22 0,00014600
22 0,00025500
22 0,00025800
22 0,00011500
22 0,00016000
22 0,00012600
22 0,00011700
22 0,00013800
22 0,00018400
22 0,00013400
22 0,00010700
22 0,00015400
22 0,00012200
21 0,00014700
21 0,00012600
21 0,00009700
21 0,00011600
21 0,00014000
21 0,00011600
21 0,00011200
21 0,00010100
21 0,00010700
21 0,00014200
21 0,00024100
21 0,00029600
21 0,00022700
21 0,00018300
21 0,00010500
20 0,00009400
20 0,00009000
20 0,00011600
20 0,00014800
20 0,00015100
20 0,00011800
20 0,00019800
20 0,00014100
20 0,00022500
20 0,00015000
20 0,00013900
20 0,00020100
20 0,00010200
20 0,00006400
20 0,00009100
19 0,00011500
19 0,00015600
19 0,00011500
19 0,00011700
19 0,00010100
19 0,00010100
19 0,00010300
19 0,00009700
19 0,00010000
19 0,00016000
19 0,00018600
19 0,00030300
19 0,00029800
19 0,00020500
19 0,00010000
18 0,00022700
18 0,00015200
18 0,00014400
18 0,00025000
18 0,00027600
18 0,00021500
18 0,00010300
18 0,00009400
18 0,00008900
18 0,00010500
18 0,00014700
18 0,00012400
18 0,00011400
18 0,00013700
18 0,00013600
17 0,00009000
17 0,00007900
17 0,00010900
17 0,00013300
17 0,00017400
17 0,00014400
17 0,00014400
17 0,00008800
17 0,00007300
17 0,00008100
17 0,00012700
17 0,00023700
17 0,00011700
17 0,00010700
17 0,00012200
16 0,00012900
16 0,00008300
16 0,00008300
16 0,00010800
16 0,00008800
16 0,00007300
16 0,00010100
16 0,00014200
16 0,00014100
16 0,00013100
16 0,00014600
16 0,00012100
16 0,00012400
16 0,00011100
16 0,00010800
15 0,00014400
15 0,00010700
15 0,00013200
15 0,00025500
15 0,00016300
15 0,00020000
15 0,00014600
15 0,00019700
15 0,00015900
15 0,00012900
15 0,00008600
15 0,00011500
15 0,00018800
15 0,00011500
15 0,00007700
14 0,00007900
14 0,00011700
14 0,00017300
14 0,00024500
14 0,00011700
14 0,00014400
14 0,00009300
14 0,00007600
14 0,00008700
14 0,00011200
14 0,00012800
14 0,00012300
14 0,00015800
14 0,00014600
14 0,00013100
13 0,00015900
13 0,00021500
13 0,00015400
13 0,00013500
13 0,00016700
13 0,00019600
13 0,00012400
13 0,00019800
13 0,00025100
13 0,00020600
13 0,00013100
13 0,00012000
13 0,00011800
13 0,00012700
13 0,00021700
12 0,00022600
12 0,00006500
12 0,00012000
12 0,00025000
12 0,00023600
12 0,00022100
12 0,00013400
12 0,00015400
12 0,00008100
12 0,00008000
12 0,00007400
12 0,00006500
12 0,00010200
12 0,00012300
12 0,00015100
11 0,00015900
11 0,00014300
11 0,00016800
11 0,00011500
11 0,00012200
11 0,00012300
11 0,00009600
11 0,00011400
11 0,00010400
11 0,00010800
11 0,00011700
11 0,00013200
11 0,00012400
11 0,00016600
11 0,00022200
10 0,00018200
10 0,00010200
10 0,00021500
10 0,00010800
10 0,00012500
10 0,00011200
10 0,00014300
10 0,00024400
10 0,00021500
10 0,00007900
10 0,00006900
10 0,00011400
10 0,00008700
10 0,00008300
10 0,00010800
9 0,00011500
9 0,00013800
9 0,00029 0,00012400
9 0,00018000
9 0,00011700
9 0,00009700
9 0,00009500
9 0,00010100
9 0,00010900
9 0,00011700
9 0,00011300
9 0,00014800
9 0,00012800
9 0,00016200
9 0,00012500
9 0,00009700
9 0,00009200
8 0,00010100
8 0,00009100
8 0,00011900
8 0,00025700
8 0,00018500
8 0,00009700
8 0,00009400
8 0,00009900
8 0,00009100
8 0,00012600
8 0,00024000
8 0,00013300
8 0,00012600
8 0,00011400
8 0,00009800
7 0,00013200
7 0,00009300
7 0,00010000
7 0,00009400
7 0,00009700
7 0,00008500
7 0,00013000
7 0,00015000
7 0,00011500
7 0,00010800
7 0,00015600
7 0,00016400
7 0,00010100
7 0,00008600
7 0,00009800
6 0,00008000
6 0,00008300
6 0,00009700
6 0,00011900
6 0,00011800
6 0,00014700
6 0,00010600
6 0,00012500
6 0,00012000
6 0,00010400
6 0,00010700
6 0,00009400
6 0,00010900
6 0,00010300
6 0,00010500
5 0,00011900
5 0,00012500
5 0,00013100
5 0,00009200
5 0,00010900
5 0,00012800
5 0,00009400
5 0,00006500
5 0,00008900
5 0,00008400
5 0,00008200
5 0,00010000
5 0,00013800
5 0,00012300
5 0,00010700
4 0,00013400
4 0,00014400
4 0,00009700
4 0,00008400
4 0,00007700
4 0,00009200
4 0,00012200
4 0,00014400
4 0,00015100
4 0,00014000
4 0,00012400
4 0,00014300
4 0,00012800
4 0,00010000
